name,description,max_concurrent,external_failover,role_scope,default
automate,Automation Engine,0,false,region,true
database_operations,Database Operations,0,false,region,true
database_owner,Database Owner,1,false,database,false
embedded_ansible,Embedded Ansible,0,false,region,false
ems_inventory,Provider Inventory,1,false,zone,true
ems_metrics_collector,Capacity & Utilization Data Collector,0,false,zone,true
ems_metrics_coordinator,Capacity & Utilization Coordinator,1,false,zone,true
ems_metrics_processor,Capacity & Utilization Data Processor,0,false,zone,true
ems_operations,Provider Operations,0,false,zone,true
event,Event Monitor,1,false,zone,event
git_owner,Git Repositories Owner,1,false,zone,false
internet_connectivity,Internet Connectivity,0,false,region,false
notifier,Notifier,1,false,region,true
reporting,Reporting,0,false,region,true
scheduler,Scheduler,1,false,region,true
smartproxy,SmartProxy,0,false,zone,false
smartstate,SmartState Analysis,0,false,zone,true
user_interface,User Interface,0,false,region,true
remote_console,Remote Consoles,0,false,region,true
web_services,Web Services,0,false,region,true
