troveName                       versionId   version                                                                                             
------------------------------  ----------  ---------------------------------------------------------------------------------------------       
Cheetah                         367         /conary.rpath.com@rpl:devel//1/1.0-1-0.1                                                            
CherryPy                        456         /conary.rpath.com@rpl:devel//1/2.2.1-2-0.1                                                          
ConfigObj                       359         /conary.rpath.com@rpl:devel//1/4.3.1-1-0.1                                                          
FormEncode                      391         /conary.rpath.com@rpl:devel//1/0.5.1-2-0.1                                                          
GConf                           17          /conary.rpath.com@rpl:devel//1/2.12.0-1-0.1                                                         
ImageMagick                     33          /conary.rpath.com@rpl:devel//1/6.2.3.3-3.6-1                                                        
ORBit2                          26          /conary.rpath.com@rpl:devel//1/2.12.4-1-0.1                                                         
PIL                             365         /conary.rpath.com@rpl:devel//1/1.1.6b1-1-0.1                                                        
Paste                           414         /conary.rpath.com@rpl:devel//1/0.9-3-0.1                                                            
PasteDeploy                     389         /conary.rpath.com@rpl:devel//1/0.5-3-0.1                                                            
PasteScript                     391         /conary.rpath.com@rpl:devel//1/0.5.1-2-0.1                                                          
PyPAM                           189         /conary.rpath.com@rpl:devel//1/0.4.2-3-0.1                                                          
PyProtocols                     369         /conary.rpath.com@rpl:devel//1/1.0a0dev_r2082-1-0.1                                                 
RuleDispatch                    371         /conary.rpath.com@rpl:devel//1/0.5a0dev_r2097-2-0.1                                                 
SQLObject                       454         /conary.rpath.com@rpl:devel//1/20060503-1-0.1                                                       
TurboGears                      458         /conary.rpath.com@rpl:devel//1/0.9a5-5-0.1                                                          
TurboJson                       420         /conary.rpath.com@rpl:devel//1/0.9a5-1-0.1                                                          
TurboKid                        420         /conary.rpath.com@rpl:devel//1/0.9a5-1-0.1                                                          
VMwareTools                     190         /addons.rpath.com@rpl:devel//1/5.5.3_34685-5.1-1                                                    
VMwareTools-kernel              192         /addons.rpath.com@rpl:devel//1/5.5.3_34685-2-0.2                                                    
acl                             203         /conary.rpath.com@rpl:devel//1/2.2.28-2-0.1                                                         
alsa-lib                        28          /conary.rpath.com@rpl:devel//1/1.0.9-2-0.1                                                          
apr                             193         /conary.rpath.com@rpl:devel//1/0.9.7-1-0.1                                                          
apr-util                        193         /conary.rpath.com@rpl:devel//1/0.9.7-1-0.1                                                          
ash                             196         /conary.rpath.com@rpl:devel//1/0.3.8-10-0.1                                                         
aspell                          198         /conary.rpath.com@rpl:devel//1/0.60.2-7-0.1                                                         
atk                             234         /conary.rpath.com@rpl:devel//1/1.10.3-1-0.1                                                         
attr                            201         /conary.rpath.com@rpl:devel//1/2.4.20-3-0.1                                                         
audiofile                       205         /conary.rpath.com@rpl:devel//1/0.2.6-6-0.1                                                          
authconfig                      537         /conary.rpath.com@rpl:devel//1/4.6.12-8-0.1                                                         
bash                            168         /conary.rpath.com@rpl:devel//1/3.0.16-7-0.1                                                         
bzip2                           207         /conary.rpath.com@rpl:devel//1/1.0.4-1-0.1                                                          
cElementTree                    208         /conary.rpath.com@rpl:devel//1/1.0.5-4-0.1                                                          
cairo                           577         /conary.rpath.com@rpl:devel//1/1.0.2-1-0.1                                                          
chkconfig                       24          /conary.rpath.com@rpl:devel//1/1.3.20-11.4-1                                                        
conary                          429         /conary.rpath.com@rpl:devel//1/1.1.22-0.1-1                                                         
coreutils                       172         /conary.rpath.com@rpl:devel//1/5.2.1-12-0.1                                                         
