name, area, typ, task, created_on, updated_on
Action: *,MiqAction,Action,*
Action: Add,MiqAction,Action,new
Action: Delete,MiqAction,Action,delete
Action: Edit,MiqAction,Action,edit
Action: List,MiqAction,Action,show_list
Action: Show,MiqAction,Action,show
Alert: *,MiqAlert,Action,*
Alert: Add,MiqAlert,Action,new
Alert: Delete,MiqAlert,Action,delete
Alert: Edit,MiqAlert,Action,edit
Alert: List,MiqAlert,Action,show_list
Alert: Show,MiqAlert,Action,show
Assistance/*,Support,*,*
Assistance/Support/License,Support,Support,License
Assistance/Diagnostics/*,Support,Diagnostics,*
Assistance/Diagnostics/All Tasks,Support,Diagnostics,All Tasks
Assistance/Diagnostics/Audit Log,Support,Diagnostics,Audit Log
Assistance/Diagnostics/EVM Log,Support,Diagnostics,EVM Log
Assistance/Diagnostics/Policy Log,Support,Diagnostics,Policy Log
Automation/*,Automation,*,*
Chargeback/Rates/*,Chargeback,Rates,*
Chargeback/Assignments/*,Chargeback,Assignments,*
Cluster: *,Cluster,Action,*
Cluster: Compare,Cluster,Action,cluster_compare
Cluster: Drift,Cluster,Action,cluster_drift
Cluster: Analyze,Cluster,Action,cluster_scan
Cluster: Assign CoTags,Cluster,Action,classifying
Cluster: Assign Policy,Cluster,Action,protect
Cluster: Delete,Cluster,Action,delete
Cluster: List,Cluster,Action,show_list
Cluster: Show,Cluster,Action,show
Computer System: *,Computer System,Action,*
Computer System: List,Computer System,Action,show_list
Computer System: Show,Computer System,Action,show
Control/*,Control,*,*
Control/Actions/*,Control,Actions,*
Control/Alerts/*,Control,Alerts,*
Control/Conditions/*,Control,Conditions,*
Control/Events/*,Control,Events,*
Control/Export,Control,Export,*
Control/Log,Control,Log,*
Control/Explorer,Control,Explorer,*
Control/Simulation,Control,Simulation,*
Control: *,MiqPolicy,Action,*
Control: Add,MiqPolicy,Action,new
Control: Delete,MiqPolicy,Action,delete
Control: Edit,MiqPolicy,Action,edit
Control: Import,MiqPolicy,Action,import
Control: Export,MiqPolicy,Action,export
Control: List,MiqPolicy,Action,show_list
Control: Show,MiqPolicy,Action,show
Condition: *,Condition,Action,*
Condition: Add,Condition,Action,new
Condition: Copy,Condition,Action,copy
Condition: Delete,Condition,Action,delete
Condition: Edit,Condition,Action,edit
Condition: List,Condition,Action,show_list
Condition: Show,Condition,Action,show
Configuration/Accounts/*,Configuration,Accounts,*
Configuration/Maintenance/*,Configuration,Maintenance,*
Configuration/Operations/*,Configuration,Operations,*
Configuration/SmartHosts/*,Configuration,SmartHosts,*
Configuration/Tags/*,Configuration,Tags,*
Configuration/Tags/Import,Configuration,Tags,Import
Configuration/Tags/My Company Categories,Configuration,Tags,My Company Categories
Configuration/Tags/My Company Tags,Configuration,Tags,My Company Tags
Configuration/Tags/MyTags,Configuration,Tags,MyTags
Configuration: Zones,Configuration,Action,zones
Configuration: Advanced,Configuration,Action,advanced
Datastore: *,Datastore,Action,*
Datastore: Assign CoTags,Datastore,Action,classifying
Datastore: Delete,Datastore,Action,delete
Datastore: List,Datastore,Action,show_list
Datastore: Assign Policy,Datastore,Action,protect
Datastore: Refresh,Datastore,Action,storage_refresh
Datastore: Scan,Datastore,Action,storage_scan
Datastore: Show,Datastore,Action,show
Event: *,Event,Action,*
Event: List,Event,Action,show_list
Everything,*,*,*
EVM Admin/*,EVM Admin,*,*
EVM Admin/All Tasks/*,EVM Admin,All Tasks,*
EVM Admin/Analysis Profiles,EVM Admin,Analysis Profiles,*
EVM Admin/EVM Servers,EVM Admin,EVM Servers,*
EVM Admin/My Tasks/*,EVM Admin,My Tasks,*
EVM Admin/Schedules,EVM Admin,Schedules,*
EVM Admin/SmartProxies,EVM Admin,SmartProxies,*
File Share: *,File Share,Action,*
File Share: List,File Share,Action,show_list
File Share: Show,File Share,Action,show
Host: *,Host,Action,*
Host: Add,Host,Action,new
Host: Analyze,Host,Action,host_scan
Host: Assign CoTags,Host,Action,classifying
Host: Assign Policy,Host,Action,protect
Host: Compare,Host,Action,host_compare
